candidate_id,refinement_status,refined_rank,refined_candidate_score,area_m2,equivalent_candidate_patch_diameter_m,centroid_lat,centroid_lon,mean_ice_probability,max_ice_probability,ice_confidence_score,depth_likelihood_class,shallow_ice_likelihood,deep_ice_likelihood,psr_stability_proxy,mean_ratio_contribution,mean_intensity_contribution,mean_roughness_suitability_contribution,mean_psr_proxy_contribution,mean_candidate_score,mean_texture,mean_dem_roughness_proxy,mean_terrain_roughness,slope_safety_score,roughness_hazard_score,roughness_ambiguity_risk,confidence_before_penalty,confidence_after_penalty,candidate_confidence_after_roughness_penalty,confidence_level,reason_for_confidence,mean_slope_deg,max_slope_deg,nearest_landing_site_id,distance_to_nearest_landing_site_m,validation_priority_rank
C-035,kept_for_planning,32.0,0.8655800521373749,7500.0,97.720502380584,-87.35150137739903,81.51585603867726,0.7311601042747498,0.8006072640419006,0.9465976655483246,shallow-likelihood,0.9305769354104996,0.5805769388874372,0.25077734390894574,0.25319891174634296,0.19089062263568243,0.22774039953947067,0.05933007877320051,0.6799243092536926,0.12000655382871628,0.0,0.0,1.0,0.0,Low,Low,Low,Low,Low,Low before penalty; Low after roughness penalty; low roughness ambiguity and low threshold stability.,0.0,0.0,L-03,2299.9792420560852,35
C-008,kept_for_planning,33.0,0.8654477000236511,6250.0,89.20620580763855,-87.43484944333107,80.13307374326648,0.7308954000473022,0.7728534936904907,0.9828727126121521,shallow-likelihood,0.9777345061302185,0.6277345061302185,0.2991191238164902,0.24017975628376007,0.21872991621494292,0.19858733415603638,0.07339841201901436,0.7246745228767395,0.20463387668132782,0.0,0.0,1.0,0.0,Low,Low,Low,Low,Low,Low before penalty; Low after roughness penalty; low roughness ambiguity and low threshold stability.,0.0,0.0,L-02,164.50683876362064,34
C-006,kept_for_planning,34.0,0.8648136854171753,5625.0,84.62843753216345,-87.40805897792974,80.1286363116572,0.7296273708343506,0.7887451648712158,0.9679434034559462,shallow-likelihood,0.9583264059490628,0.6083264085981581,0.2835804224014282,0.257735217610995,0.19210810959339142,0.21090772416856554,0.06887637078762054,0.7078980207443237,0.1706165075302124,0.0,0.0,1.0,0.0,Low,Low,Low,Low,Low,Low before penalty; Low after roughness penalty; low roughness ambiguity and low threshold stability.,0.0,0.0,L-03,406.220915388124,45
C-034,kept_for_planning,35.0,0.8636467754840851,5625.0,84.62843753216345,-87.36822227281496,81.46707659280919,0.7272935509681702,0.7747926712036133,0.9629453553093804,shallow-likelihood,0.9518289566040039,0.601828952630361,0.26047538717587787,0.27033482326401603,0.1737435774670707,0.22106278273794386,0.06215238571166992,0.7001299858093262,0.14257772266864777,0.0,0.0,1.0,0.0,Low,Low,Low,Low,Low,Low before penalty; Low after roughness penalty; low roughness ambiguity and low threshold stability.,0.0,0.0,L-03,1891.2118069548512,44
C-032,kept_for_planning,36.0,0.8634302616119385,6875.0,93.56025796273889,-87.39934058656415,81.22479548399167,0.726860523223877,0.8066322803497314,0.9576349366794933,shallow-likelihood,0.9449253840879961,0.5949253927577626,0.27852376753633673,0.2521097809076309,0.1897709532217546,0.21757500957358966,0.06740479306741194,0.6853563189506531,0.15220768749713898,0.0,0.0,1.0,0.0,Low,Low,Low,Low,Low,Low before penalty; Low after roughness penalty; low roughness ambiguity and low threshold stability.,0.0,0.0,L-05,1003.3054872901099,39
C-010,kept_for_planning,37.0,0.8620421588420868,8125.0,101.71072362820549,-87.40827293472742,80.33327134679078,0.7240843176841736,0.7839982509613037,0.9579921364784241,shallow-likelihood,0.9453897476196289,0.5953897512876071,0.28370476686037505,0.25038768694950986,0.19270114371409783,0.21208297633207762,0.06891255539197189,0.6953494548797607,0.1668373942375183,0.0,0.0,1.0,0.0,Low,Low,Low,Low,Low,Low before penalty; Low after roughness penalty; low roughness ambiguity and low threshold stability.,0.0,0.0,L-03,125.53141477205835,28
C-019,kept_for_planning,38.0,0.86191326379776,5000.0,79.78845608028654,-87.24194884537943,81.21186625115917,0.72382652759552,0.7497058510780334,0.9957167282700539,shallow-likelihood,0.9944317489862442,0.6444317251443863,0.18723687902092934,0.26799850538372993,0.2092897705733776,0.20569959469139576,0.040838653687387705,0.7517029643058777,0.18499645590782166,0.0,0.0,1.0,0.0,Low,Low,Low,Low,Low,Low before penalty; Low after roughness penalty; low roughness ambiguity and medium threshold stability.,0.0,0.0,L-01,3323.648691573765,22
C-028,kept_for_planning,39.0,0.8606691360473633,8125.0,101.71072362820549,-87.48613737683259,80.74604939709648,0.7213382720947266,0.8216042518615723,0.9724850883850684,shallow-likelihood,0.9642306016041682,0.614230596102201,0.32886619522021365,0.2564468441101221,0.191759759416947,0.19107626722409174,0.08205534918950154,0.7297521233558655,0.22537244856357574,0.0,0.0,1.0,0.0,Low,Low,Low,Low,Low,Low before penalty; Low after roughness penalty; low roughness ambiguity and low threshold stability.,0.0,0.0,L-04,615.7691106519846,24
C-040,kept_for_planning,40.0,0.8590368628501892,5000.0,79.78845608028654,-87.25905455103037,81.93393454664114,0.7180737257003784,0.7504087686538696,0.9861391559243202,shallow-likelihood,0.9819808900356293,0.631980873644352,0.19715815223753452,0.2756371069699526,0.18997567147016525,0.20873500779271126,0.04372592410072684,0.7411915063858032,0.17661550641059875,0.0,0.0,1.0,0.0,Low,Low,Low,Low,Low,Low before penalty; Low after roughness penalty; low roughness ambiguity and low threshold stability.,0.0,0.0,L-01,4352.856910265946,38
C-027,kept_for_planning,41.0,0.8573469519615173,5000.0,79.78845608028654,-87.3698588577705,81.05572313574129,0.7146939039230347,0.7376829981803894,0.9830969348549843,shallow-likelihood,0.9780260026454926,0.6280260011553764,0.2614246532320976,0.24773365072906017,0.2030746042728424,0.20145701803267002,0.06242864113301039,0.7164585590362549,0.1967104971408844,0.0,0.0,1.0,0.0,Low,Low,Low,Low,Low,Low before penalty; Low after roughness penalty; low roughness ambiguity and low threshold stability.,0.0,0.0,L-03,1463.3577879742877,53
